,username,talking_about_count,time
143936,chipotle,39509,2015-09-11 04:00:00+00
144439,burgerking,191530,2015-09-11 04:00:00+00
144569,DunkinDonuts,3932,2015-09-11 04:00:00+00
145209,Dominos,25697,2015-09-12 04:00:00+00
145435,chipotle,38182,2015-09-12 04:00:00+00
145707,DunkinDonuts,3917,2015-09-12 04:00:00+00
145785,burgerking,209444,2015-09-12 04:00:00+00
146015,chipotle,34092,2015-09-13 04:00:00+00
146141,burgerking,209444,2015-09-13 04:00:00+00
146843,DunkinDonuts,3898,2015-09-13 04:00:00+00
146917,Dominos,24856,2015-09-13 04:00:00+00
147649,burgerking,209444,2015-09-14 04:00:00+00
147653,chipotle,24381,2015-09-14 04:00:00+00
148024,DunkinDonuts,3888,2015-09-14 04:00:00+00
148060,Dominos,24586,2015-09-14 04:00:00+00
148205,burgerking,183674,2015-09-15 04:00:00+00
148481,DunkinDonuts,3910,2015-09-15 04:00:00+00
148898,chipotle,21240,2015-09-15 04:00:00+00
149077,Dominos,24834,2015-09-15 04:00:00+00
150014,DunkinDonuts,3937,2015-09-16 04:00:00+00
150142,Dominos,25134,2015-09-16 04:00:00+00
150252,chipotle,18618,2015-09-16 04:00:00+00
150256,burgerking,185740,2015-09-16 04:00:00+00
150555,DunkinDonuts,3922,2015-09-17 04:00:00+00
150868,chipotle,14631,2015-09-17 04:00:00+00
151007,burgerking,180097,2015-09-17 04:00:00+00
151052,Dominos,24956,2015-09-17 04:00:00+00
151502,Dominos,25495,2015-09-18 04:00:00+00
151626,DunkinDonuts,3896,2015-09-18 04:00:00+00
152021,chipotle,15412,2015-09-18 04:00:00+00
152438,burgerking,180097,2015-09-18 04:00:00+00
152664,chipotle,16830,2015-09-19 04:00:00+00
152719,Dominos,26054,2015-09-19 04:00:00+00
153014,burgerking,176646,2015-09-19 04:00:00+00
153098,DunkinDonuts,3879,2015-09-19 04:00:00+00
153974,DunkinDonuts,3840,2015-09-20 04:00:00+00
154135,Dominos,26054,2015-09-20 04:00:00+00
154158,chipotle,16830,2015-09-20 04:00:00+00
154596,burgerking,176646,2015-09-20 04:00:00+00
154908,Dominos,26039,2015-09-21 04:00:00+00
154938,chipotle,17751,2015-09-21 04:00:00+00
155505,DunkinDonuts,3820,2015-09-21 04:00:00+00
155507,burgerking,156366,2015-09-21 04:00:00+00
155738,Dominos,24670,2015-09-22 04:00:00+00
155767,chipotle,18445,2015-09-22 04:00:00+00
156409,burgerking,171162,2015-09-22 04:00:00+00
156739,DunkinDonuts,3845,2015-09-22 04:00:00+00
157148,burgerking,171162,2015-09-23 04:00:00+00
157377,chipotle,18445,2015-09-23 04:00:00+00
157525,Dominos,24670,2015-09-23 04:00:00+00
157555,DunkinDonuts,3845,2015-09-23 04:00:00+00
157965,DunkinDonuts,3823,2015-09-24 04:00:00+00
158319,burgerking,166661,2015-09-24 04:00:00+00
158942,chipotle,23543,2015-09-24 04:00:00+00
158964,Dominos,28167,2015-09-24 04:00:00+00
159124,DunkinDonuts,3823,2015-09-25 04:00:00+00
159730,Dominos,28167,2015-09-25 04:00:00+00
159748,chipotle,23543,2015-09-25 04:00:00+00
159855,burgerking,166661,2015-09-25 04:00:00+00
160253,DunkinDonuts,4225,2015-09-26 04:00:00+00
160644,Dominos,35254,2015-09-26 04:00:00+00
160756,chipotle,23211,2015-09-26 04:00:00+00
161164,burgerking,165369,2015-09-26 04:00:00+00
161406,DunkinDonuts,4260,2015-09-27 04:00:00+00
161453,chipotle,26458,2015-09-27 04:00:00+00
161521,Dominos,37863,2015-09-27 04:00:00+00
162038,burgerking,160978,2015-09-27 04:00:00+00
162325,Dominos,40553,2015-09-28 04:00:00+00
162784,burgerking,162583,2015-09-28 04:00:00+00
163176,chipotle,26145,2015-09-28 04:00:00+00
163332,DunkinDonuts,25237,2015-09-28 04:00:00+00
163842,DunkinDonuts,25237,2015-09-29 04:00:00+00
163897,chipotle,27088,2015-09-29 04:00:00+00
164027,Dominos,43372,2015-09-29 04:00:00+00
164294,burgerking,160074,2015-09-29 04:00:00+00
164680,burgerking,165559,2015-09-30 04:00:00+00
165207,Dominos,45684,2015-09-30 04:00:00+00
165270,chipotle,27088,2015-09-30 04:00:00+00
165366,DunkinDonuts,25237,2015-09-30 04:00:00+00
165721,burgerking,165559,2015-10-01 04:00:00+00
165964,Dominos,45684,2015-10-01 04:00:00+00
166088,chipotle,22954,2015-10-01 04:00:00+00
